github.com/AlDanial/cloc v 2.10  T=18.73 s (700.5 files/s, 165472.3 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
Ruby                                 10224         253606         415383        1330113
C                                      258          39132          44153         250435
JSON                                    41             82              0         243336
Markdown                               896          56421            328         137488
C/C++ Header                           223          12763          21885          71351
JavaScript                              59           1857           3028          56069
YAML                                   166           6844           6923          53685
CSS                                     16           2679            477          24869
Text                                    54           2496              0          16385
Java                                    40           1462           3446          10897
make                                    44           1576            129           9346
ERB                                    124            779              1           4906
SVG                                    846             12              0           2738
Ruby HTML                               58            280             19           2473
CSV                                      5              0              0           1875
HTML                                    10            212             16           1336
Windows Module Definition                1              2              0           1050
Pascal                                   3             58           1103            618
MSBuild script                           2              0              0            425
yacc                                     2             46              0            334
Oracle Reports                           4             65              0            276
Dockerfile                               8             79             90            183
Bourne Shell                             4             25             50            124
Bourne Again Shell                      10             30              6            111
SQL                                      3             44             39            107
diff                                     5             17             56             84
JSON5                                    1              0              0             77
Protocol Buffers                         6             34             81             55
ReasonML                                 2             42            215             52
Visual Studio Solution                   1              1              1             24
Justfile                                 1              6              1             19
TOML                                     1              2              0             17
C++                                      1              2             19              1
---------------------------------------------------------------------------------------
SUM:                                 13119         380654         497449        2220859
---------------------------------------------------------------------------------------
